 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso
240036735;SE ;ARACAJU ;CIDADE NOVA ;RUA A, N. 123, Apto 201, Bl 07 ;120.000,00;120.000,00;0.00;Apartamento, 59.18 de área total, 42.28 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Concorrência Pública;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=240036735
240043090;SE ;ARACAJU ;FAROLANDIA ;RUA TENENTE WALDIR DOS SANTOS, N. 639, Apto 303, BL 10 ;125.000,00;125.000,00;0.00;Apartamento, 58.14 de área total, 41.47 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Concorrência Pública;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=240043090
1,44441E+12;SE ;ARACAJU ;PEREIRA LOBO ;AVENIDA GONCALO ROLEMBERG LEITE, N. 2319, Apto 903, BL A, ED PORT PRINCE ;250.000,00;250.000,00;0.00;Apartamento, 0.00 de área total, 74.01 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, WC Emp, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444413348230
1,55551E+12;SE ;ARACAJU ;LUZIA ;Rua Engenheiro Antonio Gonçalves Soares, N. 140, Apto 103, Bloco D. Ed Lagunas Ville ;311.612,07;311.612,07;0.00;Apartamento, 0.00 de área total, 74.12 de área privativa, 0.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555508794972
1,55552E+12;SE ;ARACAJU ;INACIO BARBOSA ;AVENIDA ADÉLIA FRANCO, N. 3580, Apto 902, EDIFÍCIO RIO ARAUÁ ;285.527,92;282.000,00;0.00;Apartamento, 0.00 de área total, 68.02 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555518570180
1,55551E+12;SE ;ARACAJU ;SUICA ;AVENIDA GONCALO ROLEMBERG LEITE, N. 1958, Apto 702, EDF. BETA CONS RES ALPHAVILLE ;311.363,00;301.000,00;0.00;Apartamento, 95.55 de área total, 95.55 de área privativa, 0.00 de área do terreno,  3 qto(s), varanda, WC, 1 sala(s), DCE, cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555513782855
1,44441E+12;SE ;ARACAJU ;FAROLANDIA ;RUA LUIZ DOS SANTOS MENDONCA, N. 99, Apto 204, BL K ;140.676,77;135.000,00;0.00;Apartamento, 0.00 de área total, 59.65 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407418540
8,78771E+12;SE ;ARACAJU ;SANTA MARIA ;RUA ROSA AZUL, N. SN, CS 1305G, LT 452A ;116.341,50;105.345,97;0.00;Casa, 0.00 de área total, 54.08 de área privativa, 120.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705962613
1,4444E+12;SE ;ARACAJU ;CIRURGIA ;RUA MARUIM, N. 2091 ;361.949,47;285.000,00;0.00;Casa, 131.62 de área total, 131.62 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, WC Emp, 1 sala(s), DCE, cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444403888754
10148075;SE ;ARACAJU ;SIQUEIRA CAMPOS ;AVENIDA DESEMBARGADOR MAYNARD, N. S/N, Esquina com a Rua Sergipe ;600.000,00;470.000,00;0.00;Comercial, 0.00 de área total, 0.00 de área privativa, 378.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10148075
